info_id,emp_id,number_consumers,dining_table_id,dining_table_name,expenditure,dishes_count,accounts_payable,use_start_time,lock_time,org_id,order_status,phone
1064,1196,8,1506,1027,48,1,48,2016/8/6 19:06,2016/8/6 19:06,330,1,18688880375
874,1111,2,1480,1001,76,6,76,2016/8/28 12:49,2016/8/28 13:04,330,1,18688880113
1320,983,6,1407,1008,78,1,78,2016/8/21 17:16,,328,0,18688880002
1135,1032,3,1484,1005,80,5,80,2016/8/28 17:44,2016/8/28 17:56,330,1,18688880051
1256,1128,6,1486,1007,84,6,84,2016/8/27 21:45,2016/8/27 21:57,330,1,18688880318
290,982,2,1401,1002,92,4,92,2016/8/20 12:08,2016/8/20 12:09,328,1,18688880001
1035,1549,10,1495,1016,95,2,95,2016/8/14 21:35,2016/8/14 21:39,330,1,18688880748
271,990,2,1402,1003,96,4,96,2016/8/25 11:32,2016/8/25 11:47,328,1,18688880009
1130,1134,4,1500,1021,97,5,97,2016/8/21 21:53,2016/8/21 22:02,330,1,18688880320
1128,1093,2,1480,1001,97,6,97,2016/8/27 21:41,2016/8/27 21:52,330,1,18688880107
1054,1152,8,1488,1009,98,3,98,2016/8/6 20:46,2016/8/6 20:58,330,1,18688880326
1207,1084,4,1486,1007,100,5,100,2016/8/27 22:00,2016/8/27 22:02,330,1,18688880104
278,1591,2,1400,1001,108,4,108,2016/8/21 13:43,2016/8/21 13:40,328,1,18688880790
342,1450,2,1402,1003,109,5,109,2016/8/2 11:58,2016/8/2 12:10,328,1,18688880649
236,1001,2,1400,1001,109,4,109,2016/8/29 12:30,2016/8/29 12:34,328,1,18688880020
423,1120,7,1492,1013,110,4,110,2016/8/27 13:40,2016/8/27 13:45,330,1,18688880116
252,1034,2,1401,1002,111,5,111,2016/8/23 13:10,2016/8/23 13:17,328,1,18688880053
480,1071,2,1485,1006,112,5,112,2016/8/19 18:47,2016/8/19 18:51,330,1,18688880096
856,1125,2,1481,1002,113,7,113,2016/8/6 13:45,2016/8/6 13:18,330,1,18688880254
352,1319,3,1403,1004,116,5,116,2016/8/12 12:19,2016/8/12 12:28,328,1,18688880518
201,1478,2,1402,1003,119,5,119,2016/8/7 11:11,2016/8/7 11:19,328,1,18688880677
1174,1152,6,1487,1008,121,8,121,2016/8/6 19:17,2016/8/6 19:20,330,1,18688880281
289,991,2,1402,1003,121,5,121,2016/8/31 11:52,2016/8/31 12:01,328,1,18688880010
1191,1141,6,1487,1008,122,5,122,2016/8/13 18:47,2016/8/13 18:55,330,1,18688880270
1029,1269,2,1480,1001,123,3,123,2016/8/6 21:23,2016/8/6 21:25,330,1,18688880467
1303,1123,6,1487,1008,124,9,124,2016/8/6 22:03,2016/8/6 22:12,330,1,18688880252
199,996,2,1426,1002,124,4,124,2016/8/25 13:58,2016/8/25 14:03,328,1,18688880015
393,1210,4,1484,1005,125,8,125,2016/8/8 11:04,2016/8/8 11:11,330,1,18688880409
842,1200,2,1482,1003,125,6,125,2016/8/13 11:05,2016/8/13 11:11,330,1,18688880379
243,1344,2,1402,1003,125,4,125,2016/8/13 13:31,2016/8/13 13:34,328,1,18688880543
538,1309,6,1487,1008,126,7,126,2016/8/18 19:57,2016/8/18 20:12,330,1,18688880508
885,1024,2,1481,1002,126,7,126,2016/8/28 13:03,2016/8/28 13:16,330,1,18688880043
703,1594,2,1482,1003,127,2,127,2016/8/4 18:54,2016/8/4 19:03,330,1,18688880793
798,1218,2,1480,1001,127,3,127,2016/8/14 11:47,2016/8/14 12:00,330,1,18688880417
1069,1239,2,1482,1003,128,3,128,2016/8/7 20:44,2016/8/7 20:26,330,1,18688880437
535,1179,7,1507,1028,128,6,128,2016/8/16 18:21,2016/8/16 18:31,330,1,18688880358
772,1112,2,1481,1002,129,7,129,2016/8/9 21:16,2016/8/9 21:25,330,1,18688880191
704,1476,2,1481,1002,129,3,129,2016/8/12 19:52,2016/8/12 19:57,330,1,18688880675
399,1167,8,1492,1013,131,4,131,2016/8/6 12:37,2016/8/6 12:48,330,1,18688880331
286,993,2,1401,1002,131,5,131,2016/8/21 12:38,2016/8/21 12:50,328,1,18688880012
200,1340,2,1400,1001,131,4,131,2016/8/21 13:02,2016/8/21 13:11,328,1,18688880539
336,996,2,1406,1007,131,5,131,2016/8/31 13:59,2016/8/31 14:06,328,1,18688880015
1177,1128,3,1502,1023,133,6,133,2016/8/6 19:11,2016/8/6 19:14,330,1,18688880257
1043,1550,5,1487,1008,133,7,133,2016/8/19 21:04,2016/8/29 21:10,330,1,18688880749
